"TIENDA_ID","PLAZA_CVE","NIVELSOCIOECONOMICO_DES","ENTORNO_DES","MTS2VENTAS_NUM","PUERTASREFRIG_NUM","CAJONESESTACIONAMIENTO_NUM","LATITUD_NUM","LONGITUD_NUM","SEGMENTO_MAESTRO_DESC","LID_UBICACION_TIENDA","DATASET","direccion","codigo_postal","estado"
126,1,"BC","Hogar",127.42,13,7,25.69107,-100.21261,"Hogar Reunión","UT_DENSIDAD","TRAIN","Circuito De Las Quintas Sur, Residencial Las Quintas, Guadalupe, Nuevo León, 67118, México","67118","Nuevo León"
681,1,"C","Hogar",128.13,13,0,25.73571,-100.18086,"Hogar Reunión","UT_DENSIDAD","TRAIN","Calle Paseo De La Gloria, Rincón de la Gloria, Apodaca, Nuevo León, 66634, México","66634","Nuevo León"
117,1,"C","Base",87.62,11,11,25.71883,-100.19133,"Hogar Reunión","UT_DENSIDAD","TRAIN","Loma Alta Sur, Lomas de San Miguel, Guadalupe, Nuevo León, 67112, México","67112","Nuevo León"
682,1,"C","Hogar",90.7,13,0,25.66952,-100.20744,"Hogar Reunión","UT_DENSIDAD","TRAIN","Arturo B. de la Garza, La Comedia, Guadalupe, Nuevo León, 67180, México","67180","Nuevo León"
275,1,"C","Hogar",95.3,13,6,25.73766,-100.16116,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Gaspar Castaño, Rincón de Huinalá, Apodaca, Nuevo León, 66644, México","66644","Nuevo León"
684,1,"C","Base",116.07,13,0,25.70486,-100.15613,"Oficinistas","UT_GAS_URBANA","TRAIN","Oxxo, Avenida Adolfo Ruiz Cortínes, Apodaca, Nuevo León, 66647, México","66647","Nuevo León"
694,1,"C","Receso",78.48,13,0,25.67955,-100.24328,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN","Oxxo, Avenida Benito Juárez, Guadalupe, Nuevo León, 67150, México","67150","Nuevo León"
272,1,"C","Hogar",100.58,12,7,25.70058,-100.2018,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Misión de Nuestra Señora, Guadalupe, Nuevo León, 67118, México","67118","Nuevo León"
702,1,"C","Hogar",73.24,13,0,25.67344,-100.26084,"Hogar Reunión","UT_DENSIDAD","TRAIN","230, Calle Mariano Matamoros, Centro, Guadalupe, Nuevo León, 67174, México","67174","Nuevo León"
704,1,"C","Base",107.23,13,0,25.68419,-100.22138,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","16 de Noviembre, Riberas del Río, Guadalupe, Nuevo León, 67150, México","67150","Nuevo León"
125,1,"BC","Hogar",141.9,10,6,25.69017,-100.25164,"Clásico","UT_TRAFICO_VEHICULAR","TRAIN","Michelin, Avenida Miguel Alemán, Libertad, Guadalupe, Nuevo León, 67138, México","67138","Nuevo León"
279,1,"C","Hogar",104.2,13,12,25.67484,-100.24412,"Hogar Reunión","UT_DENSIDAD","TRAIN","La Hacienda, Guadalupe, Nuevo León, 67150, México","67150","Nuevo León"
127,1,"BC","Hogar",132,12,5,25.66474,-100.20913,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Álamo, Valles de la Silla, Guadalupe, Nuevo León, 67180, México","67180","Nuevo León"
706,1,"C","Hogar",120.87,13,0,25.73785,-100.20217,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Calle José Ovalle, Apodaca, Nuevo León, 66634, México","66634","Nuevo León"
129,1,"BC","Base",83.99,13,10,25.6808,-100.24372,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Oxxo, Avenida Azteca, Azteca, Guadalupe, Nuevo León, 67150, México","67150","Nuevo León"
268,1,"C","Base",121.2,13,9,25.69481,-100.23052,"Clásico","UT_GAS_URBANA","TRAIN","Oxxo, Avenida General Lázaro Cárdenas, 18 de Marzo, Guadalupe, Nuevo León, 67138, México","67138","Nuevo León"
131,1,"BC","Hogar",99.65,12,8,25.64911,-100.26649,"Clásico","UT_DENSIDAD","TRAIN","Oxxo, Calle Escritores Mexicanos, Contry Sol, Guadalupe, Nuevo León, 64850, México","64850","Nuevo León"
716,1,"C","Hogar",121.21,13,0,25.7105,-100.21547,"Hogar Reunión","UT_DENSIDAD","TRAIN","De la Hacienda, Paseo de San Miguel, Guadalupe, Nuevo León, 67110, México","67110","Nuevo León"
722,1,"C","Base",118.3,13,0,25.69569,-100.24609,"Oficinistas","UT_TRAFICO_VEHICULAR","TRAIN","Bilbao, Valles de Linda Vista, Guadalupe, Nuevo León, 67138, México","67138","Nuevo León"
726,1,"C","Hogar",113.96,13,0,25.72278,-100.15421,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Mondrian, Misión Real, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
135,1,"BC","Hogar",124.5,12,7,25.69272,-100.25433,"Clásico","UT_DENSIDAD","TRAIN","Oxxo, Avenida Linda Vista, Linda Vista, Guadalupe, Nuevo León, 67138, México","67138","Nuevo León"
663,1,"C","Base",115.76,13,0,25.71882,-100.16863,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Gaspar Castaño, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
639,1,"C","Hogar",113.85,13,0,25.71143,-100.15224,"Hogar Reunión","UT_DENSIDAD","TRAIN","Calle Hacienda La Escondida, Hacienda Las Margaritas, Apodaca, Nuevo León, 66647, México","66647","Nuevo León"
642,1,"C","Receso",88.39,13,0,25.70438,-100.22197,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN","José Manuel, Guadalupe, Nuevo León, 67110, México","67110","Nuevo León"
299,1,"C","Hogar",94,10,9,25.68426,-100.21374,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Oxxo, Avenida Adolfo López Mateos, Guadalupe, Nuevo León, 67118, México","67118","Nuevo León"
298,1,"C","Peatonal",103.3,13,5,25.67933,-100.24593,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN","Avenida Benito Juárez, Guerra, Guadalupe, Nuevo León, 67150, México","67150","Nuevo León"
644,1,"C","Base",105.69,13,0,25.7036,-100.15854,"Hogar Reunión","UT_TRAFICO_PEATONAL","TRAIN","Terminal Valle Soleado, Calle Magallanes, Privadas de San Miguel, Guadalupe, Nuevo León, 66647, México","66647","Nuevo León"
296,1,"C","Hogar",86,13,5,25.66105,-100.25257,"Clásico","UT_GAS_URBANA","TRAIN","Oxxo, Bosques del Valle, Bosques de la Pastora, Guadalupe, Nuevo León, 67176, México","67176","Nuevo León"
652,1,"C","Base",113.23,14,0,25.65635,-100.26234,"Clásico","UT_TRAFICO_VEHICULAR","TRAIN","Alfredo Bernando Nóbel, Contry Sol, Guadalupe, Nuevo León, 67174, México","67174","Nuevo León"
653,1,"C","Hogar",112.09,13,0,25.69885,-100.12075,"Clásico","UT_DENSIDAD","TRAIN","Fatima, Apodaca, Nuevo León, 66670, México","66670","Nuevo León"
292,1,"C","Hogar",114,13,11,25.72188,-100.20232,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Avenida Acapulco, Los Cristales, Guadalupe, Nuevo León, 67112, México","67112","Nuevo León"
291,1,"C","Hogar",108.91,13,10,25.68419,-100.24388,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Apache, Azteca, Guadalupe, Nuevo León, 67138, México","67138","Nuevo León"
731,1,"C","Base",117.97,15,0,25.67493,-100.20706,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Aarón Sáenz, Nuevo San Sebastian, Guadalupe, Nuevo León, 67188, México","67188","Nuevo León"
289,1,"C","Hogar",114.04,13,9,25.70314,-100.23122,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Avenida Tauro, La Purisima, Guadalupe, Nuevo León, 67129, México","67129","Nuevo León"
288,1,"D","Base",104,13,11,25.67442,-100.20493,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Avenida San Sebastián, San Sebastián, Guadalupe, Nuevo León, 67188, México","67188","Nuevo León"
667,1,"C","Hogar",122.19,13,0,25.73719,-100.15527,"Hogar Reunión","UT_DENSIDAD","TRAIN","Apodaca, Nuevo León, 66644, México","66644","Nuevo León"
668,1,"C","Hogar",93.08,13,0,25.72812,-100.18563,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Calle Concepción del Oro, Cañada Blanca, Guadalupe, Nuevo León, 66634, México","66634","Nuevo León"
285,1,"A","Hogar",130.46,13,7,25.64192,-100.26826,"Clásico","UT_DENSIDAD","TRAIN","Oxxo, Calle Muralistas, Contry La Silla, Monterrey, Guadalupe, Nuevo León, 64850, México","64850","Nuevo León"
671,1,"C","Base",114.21,13,0,25.67863,-100.26725,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","202, Calle José María Arteaga, Esmeralda, Guadalupe, Nuevo León, 67140, México","67140","Nuevo León"
674,1,"C","Hogar",114.34,13,0,25.69528,-100.20643,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida Circunvalación, Nuevo San Rafael, Guadalupe, Nuevo León, 67118, México","67118","Nuevo León"
281,1,"BC","Hogar",121.54,13,8,25.69659,-100.25507,"Hogar Reunión","UT_DENSIDAD","TRAIN","Vista Boulevard, Linda Vista, Guadalupe, Nuevo León, 67138, México","67138","Nuevo León"
677,1,"C","Hogar",110.81,13,0,25.68325,-100.23067,"Parada Técnica","UT_DENSIDAD","TRAIN","Puebla, Ignacio Zaragoza, Guadalupe, Nuevo León, 67150, México","67150","Nuevo León"
