"TIENDA_ID","PLAZA_CVE","NIVELSOCIOECONOMICO_DES","ENTORNO_DES","MTS2VENTAS_NUM","PUERTASREFRIG_NUM","CAJONESESTACIONAMIENTO_NUM","LATITUD_NUM","LONGITUD_NUM","SEGMENTO_MAESTRO_DESC","LID_UBICACION_TIENDA","DATASET","direccion","codigo_postal","estado","X","min_mes","max_mes","min","max","prom","desvstd","skewness","kurtosis","q1","q10","q25","q50","q75","q90","q99","Meta_venta","ratio","exito"
126,1,"BC","Hogar",127.42,13,7,25.69107,-100.21261,"Hogar Reunión","UT_DENSIDAD","TRAIN","Circuito De Las Quintas Sur, Residencial Las Quintas, Guadalupe, Nuevo León, 67118, México",67118,"Nuevo León",125,202301,202412,78331.04,1180529.27,897943.461428571,314048.541899566,-1.75728104408545,2.64374795382494,83900.116,555932.89,775114.25,984454.29,1096866.62,1150093.19,1179621.792,490000,1.83253767638484,1
681,1,"C","Hogar",128.13,13,0,25.73571,-100.18086,"Hogar Reunión","UT_DENSIDAD","TRAIN","Calle Paseo De La Gloria, Rincón de la Gloria, Apodaca, Nuevo León, 66634, México",66634,"Nuevo León",680,202301,202412,352343.14,1142876.26,875823.11,177210.453353117,-1.3254179366676,2.6347821337901,404617.91,682280.75,805632.39,904828.05,993308.25,1028034.64,1127487.744,490000,1.78739410204082,1
117,1,"C","Base",87.62,11,11,25.71883,-100.19133,"Hogar Reunión","UT_DENSIDAD","TRAIN","Loma Alta Sur, Lomas de San Miguel, Guadalupe, Nuevo León, 67112, México",67112,"Nuevo León",116,202301,202412,39231.98,679071.26,454438.265714286,168750.415831182,-1.05836406474798,0.938720952404483,53023.12,240896.39,401300.5,481266.44,549538.79,636046.93,675997.454,480000,0.946746386904762,0
682,1,"C","Hogar",90.7,13,0,25.66952,-100.20744,"Hogar Reunión","UT_DENSIDAD","TRAIN","Arturo B. de la Garza, La Comedia, Guadalupe, Nuevo León, 67180, México",67180,"Nuevo León",681,202301,202412,492032.74,1184104.71,945847.573809524,155446.680724882,-1.10113249423788,2.48299942772868,542588.536,774231.42,886548.71,947389.7,1052899.69,1091986.25,1180238.986,490000,1.93030117103984,1
275,1,"C","Hogar",95.3,13,6,25.73766,-100.16116,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Gaspar Castaño, Rincón de Huinalá, Apodaca, Nuevo León, 66644, México",66644,"Nuevo León",274,202301,202412,121380.24,1519884.56,859411.378095238,431061.770148608,-0.073419627718659,-1.23431005447366,155924.918,323220.52,439180.36,854536.6,1156174.76,1418670.59,1514553.766,490000,1.75390077162293,1
684,1,"C","Base",116.07,13,0,25.70486,-100.15613,"Oficinistas","UT_GAS_URBANA","TRAIN","Oxxo, Avenida Adolfo Ruiz Cortínes, Apodaca, Nuevo León, 66647, México",66647,"Nuevo León",683,202301,202412,182077.04,537798.68,409774.891428571,86389.1107389851,-1.140553306985,1.71618938654122,191643.934,337475.28,364702.19,421974.11,452462.97,502092.16,530943.988,480000,0.853697690476191,0
694,1,"C","Receso",78.48,13,0,25.67955,-100.24328,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN","Oxxo, Avenida Benito Juárez, Guadalupe, Nuevo León, 67150, México",67150,"Nuevo León",693,202301,202412,551264.93,1520226.11,1229238.29285714,192332.731631047,-2.08869461260865,7.50805338672413,658579.322,1116033.83,1171690.36,1231169.28,1350013.31,1417642.47,1500380.732,516000,2.38224475359911,1
272,1,"C","Hogar",100.58,12,7,25.70058,-100.2018,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Misión de Nuestra Señora, Guadalupe, Nuevo León, 67118, México",67118,"Nuevo León",271,202301,202412,585550.61,1917060.92,1518323.97714286,271818.687913688,-1.99983769983445,6.50095203116454,718683.918,1299028.43,1452685.79,1571214.27,1647104.96,1720858.81,1905563.9,490000,3.09862036151603,1
702,1,"C","Hogar",73.24,13,0,25.67344,-100.26084,"Hogar Reunión","UT_DENSIDAD","TRAIN","230, Calle Mariano Matamoros, Centro, Guadalupe, Nuevo León, 67174, México",67174,"Nuevo León",701,202301,202412,462359.75,1175130.66,921464.206190476,167139.369344963,-1.04195936394317,1.51808098026772,503523.566,731958.24,835138.28,963629.7,1014869.27,1081636.37,1167280.898,490000,1.88053919630709,1
704,1,"C","Base",107.23,13,0,25.68419,-100.22138,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","16 de Noviembre, Riberas del Río, Guadalupe, Nuevo León, 67150, México",67150,"Nuevo León",703,202301,202412,451600.51,1354355.38,1024033.43904762,176233.211810736,-1.36231754323013,5.22733611823409,538131.028,899157.49,961422.62,1031771.46,1103681.51,1220172.39,1335129.918,480000,2.13340299801587,1
