,TIENDA_ID,min_mes,max_mes,min,max,prom,desvstd,skewness,kurtosis,q1,q10,q25,q50,q75,q90,q99,ENTORNO_DES,Meta_venta,ratio
0,1,202301,202412,155325.03,919614.5,708027.569047619,188238.6394933376,-1.645348502909897,2.9391998987981043,193157.826,475459.96,697411.28,739971.54,837783.48,875389.21,918530.786,Hogar,490000,1.4449542225461613
1,2,202301,202412,482736.19,1140719.77,899474.1304761906,147170.4389971375,-1.0002842476621505,2.0700339135114656,526758.878,729203.78,810243.42,923898.95,978336.28,1083879.45,1129723.8860000002,Hogar,490000,1.835661490767736
2,3,202301,202412,457933.59,1107760.0,827487.1057142856,170336.71440997807,-0.10704717773881203,-0.13625776913297694,487450.434,634715.83,704496.74,840699.23,911860.17,1086908.61,1107521.894,Hogar,490000,1.688749195335277
3,4,202301,202412,566760.26,1592000.84,1247370.1909523811,215367.9694330369,-1.39539374633261,4.095253266065651,661493.404,1088717.62,1136516.53,1284896.74,1372968.07,1477218.13,1575523.012,Hogar,490000,2.545653450923227
4,5,202301,202412,769058.2,2004008.03,1596266.5033333334,256352.79918397777,-1.6528459493205336,4.669739475697234,867677.4099999999,1381033.15,1508769.78,1628417.71,1727566.05,1839386.54,1976038.206,Hogar,490000,3.257686741496599
5,6,202301,202412,347584.15,901450.23,656530.3366666667,116770.49388997824,-0.3235268112493292,1.9457002327585182,383802.032,549597.87,584047.43,664241.73,706871.94,799826.35,890594.49,Hogar,490000,1.3398578299319728
6,7,202301,202412,396541.34,1049884.11,887061.4404761905,139009.34371208862,-2.355755440854092,7.463783580448242,458578.324,786649.59,874273.81,914446.82,942275.14,1005535.82,1046143.0160000001,Hogar,490000,1.8103294703595725
7,8,202301,202412,459950.68,1153178.03,944243.3,163884.0281360822,-1.4993689062979585,2.623303212544737,508276.324,713967.39,898382.67,1000639.1,1070384.17,1083767.47,1141299.4980000001,Base,480000,1.9671735416666667
8,9,202301,202412,672884.15,1683921.27,1433065.7142857143,224758.36989044625,-2.022174956460202,5.800232291931822,774181.632,1231613.14,1359957.13,1483184.01,1577998.82,1631804.01,1680729.762,Hogar,490000,2.9246239067055395
10,11,202301,202412,92265.46,973856.48,597581.770952381,221954.45780682022,-0.7092376126618151,0.3509021383381561,109845.812,275718.67,521131.68,587077.97,777941.56,817536.04,944699.7160000001,Hogar,490000,1.2195546345966959
11,12,202301,202412,376549.23,1173819.86,950205.5414285715,174824.17688887214,-1.7508083289109508,4.985659202251929,448110.762,821976.22,869401.69,977778.44,1041851.22,1122162.74,1173201.5380000002,Hogar,490000,1.9391949825072887
12,13,202301,202412,540728.19,1421070.3,1085699.5752380951,206878.92533447634,-0.9466603803441016,1.1981083174836828,586051.96,787581.63,1013642.89,1096071.44,1209288.26,1304357.61,1404020.24,Base,480000,2.261874115079365
13,14,202301,202412,539770.15,1357595.8,1009999.5042857142,207483.05756719905,-0.24646152035242355,0.13593052252184057,573023.616,761334.67,887448.65,1000711.91,1113769.88,1329546.28,1352626.816,Receso,516000,1.957363380398671
14,15,202301,202412,223343.73,716468.56,537196.3566666667,130543.27337539181,-0.8670121262603729,0.5913461247967553,235716.97400000002,357601.94,490029.7,544213.86,652246.13,659332.42,714263.886,Receso,516000,1.0410782105943153
15,16,202301,202412,383641.15,1372365.57,1010437.0433333333,224058.36116919213,-0.8939335195016336,1.9908240053517674,446449.14,758137.48,914102.16,1030912.24,1126682.65,1309754.12,1363597.158,Hogar,490000,2.0621164149659865
16,17,202301,202412,307142.51,935106.84,710765.4057142857,146194.31477042794,-1.5376361604462603,2.441792518067872,330454.806,464125.38,695537.57,738659.03,779440.32,827732.55,916583.012,Base,480000,1.4807612619047619
17,18,202301,202412,630952.96,1594888.58,1196766.2776190476,255359.1352021818,-0.9527135685812307,0.39832661653255697,642585.33,757284.11,1123357.0,1237839.32,1361472.65,1429234.99,1565876.84,Hogar,490000,2.4423801584062197
18,19,202301,202412,262711.11,592995.28,452242.3819047619,102058.93937034925,-0.3746089208512919,-0.6959112704728678,264826.132,297955.97,390891.64,450302.66,510715.93,587137.28,591965.262,Hogar,490000,0.9229436365403304
20,21,202301,202412,546985.49,1471822.67,1196304.045238095,195686.7757480343,-1.8173064767059965,5.212225781126767,640368.62,1037963.12,1108442.5,1215611.67,1326350.38,1354126.81,1450990.128,Hogar,490000,2.4414368270165205
21,22,202301,202412,415612.58,1203218.71,912580.4719047619,158283.72603309574,-1.316730464744392,4.235596034506342,479671.412,757581.23,859748.0,918312.88,1000879.48,1047622.95,1184412.672,Hogar,490000,1.8624091263362488
22,23,202301,202412,387128.57,1135470.32,888835.6995238096,148230.38068962688,-1.79116584344708,6.094174054946414,465473.034,802937.37,818544.77,904172.45,972975.26,1020834.62,1117144.982,Receso,516000,1.7225498052787007
