id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,indice_competencia_500m
6234993,19039462112004682000008154S2,7 ELEVEN SUC 0001 TECNOLOGICO,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,EUGENIO GARZA SADA (FIDEL VELAZQUEZ),CALLE,FILÓSOFOS,ANDADOR,PARAJE TEC,CALLE,PROLONGACIÓN BACHILLERES,2600.0,,,,,,COLONIA,TECNOLOGICO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,2097,8,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.65040448,-100.29201578,2010-07,8
6234871,19019462112000322000008154S1,7 ELEVEN SUC 0004 GOMEZ MORIN,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,MANUEL GÓMEZ MORÍN,CALLE,PALMAS,CALLE,SAUCES,CALLE,GRANADOS,402.0,,,,,,COLONIA,SANTA ENGRACIA,,,,,19,Nuevo León,19,San Pedro Garza García,1,San Pedro Garza García                                                                                        ,0098,13,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.65578241,-100.35697049,2010-07,4
6234951,19019462112000332000008154S0,7 ELEVEN SUC 0005 SANTA BARBARA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,JOSÉ VASCONCELOS,AVENIDA,SANTA BÁRBARA,CALLE,ENCINO VERDE,CALLE,CALLEJÓN DE LOS ARIZPE,1223.0,,,,,,COLONIA,SAN FRANCISCO,,,,,19,Nuevo León,19,San Pedro Garza García,1,San Pedro Garza García                                                                                        ,0492,25,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.65935706,-100.39356764,2010-07,1
6235022,19046462112001172000008154S2,7 ELEVEN SUC 0006 ANAHUAC,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,TOPO CHICO,AVENIDA,MANUEL L. BARRAGÁN,CALLE,RAMÓN DE CAMPOAMOR,CALLE,EDUARDO MARQUINA,810.0,,,,,,COLONIA,ANAHUAC,,,,,19,Nuevo León,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,0216,5,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.73690511,-100.31400041,2010-07,4
6235085,19039462112003622000008154S9,7 ELEVEN SUC 0007 HOSPITAL,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALZADA,FRANCISCO I. MADERO,AVENIDA,DOCTOR JOSÉ ELEUTERIO GONZÁLEZ,CALLE,VENECIA,CALLE,SAYULA,3522.0,,,,,,COLONIA,MITRAS SUR,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1455,22,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68788131,-100.35109424,2010-07,4
6234949,19019462112000602000008154S6,7 ELEVEN SUC 0011 SAN PEDRO GARZA GARCIA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALZADA,SAN PEDRO (PARQUE PRIMERA PONIENTE),CALLE,RÍO AMAZONAS,CALLE,RÍO MISSISSIPI,CALLE,RÍO GUAYALEJO,230.0,,,,,,COLONIA,JARDINES DEL VALLE,,,,,19,Nuevo León,19,San Pedro Garza García,1,San Pedro Garza García                                                                                        ,0064,10,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.66138999,-100.3692044,2010-07,5
6235018,19039462112003592000008154S4,7 ELEVEN SUC 0017 PALESTINA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,PALESTINA,CALLE,RÍO PÁNUCO,CALLE,PALESTINA,CALLE,JUANA DE ASBAJE Y RAMÍREZ,900.0,,,,,,COLONIA,ROMA SUR,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,2063,10,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.65102018,-100.29887893,2010-07,3
6235116,19026462112001992001008154S5,7 ELEVEN SUC 0022 CALLES,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,GENERAL PLUTARCO ELÍAS CALLES (CONSTITUCCION),CALLE,DEL RÍO,CALLE,SOTO VEGA,CALLE,RIACHUELO,3034.0,,,,,,COLONIA,RIVERAS DEL RIO,,,,,19,Nuevo León,26,Guadalupe,1,Guadalupe                                                                                                     ,0482,9,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68430985,-100.22506788,2010-07,3
6235066,19039462112005752001008154S2,7 ELEVEN SUC 0024 CHAPULTEPEC,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,PONY,CALLE,ALAZÁN,AVENIDA,CHAPULTEPEC,CALLE,TORDILLO,2450.0,,,,,,COLONIA,VALLES DEL HUAJUCO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,4731,1,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.66616832,-100.27140197,2010-07,3
6235087,19039462112004982000008154S6,7 ELEVEN SUC 0025 CENTRAL,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,RODRIGO GÓMEZ,AVENIDA,ALFONSO REYES,CALLE,LAGO DE CHAPALA,CALLE,RÍO PAPALOAPAN,1213.0,,,,,,COLONIA,CENTRAL,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,064A,8,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.71486826,-100.34236326,2010-07,7
